team,rmsa attack,rmsa attack stdev,rmsa defend,rmsa defend stdev,rmsa,map_type,normalized rmsa
Houston Outlaws,1.9877290593173187,3.3981621261751918,9.564886542851381,3.3981621261751926,11.5526156021687,Control,100.0
Seoul Infernal,6.185138291491014,3.405699226094377,3.7837648574930562,3.4056992260943764,9.96890314898407,Control,88.25090814319778
O2 Blast,3.6273765869964967,2.874970754653487,2.660304322283664,2.8749707546534875,6.28768090928016,Control,60.941014764123395
Florida Mayhem,-2.331630836286535,3.4880102371502386,8.291211393139463,3.4880102371502386,5.959580556852928,Control,58.50693579280186
Hangzhou Spark,1.791149096104492,3.2569230459737746,3.225440051023336,3.2569230459737737,5.016589147127828,Control,51.51116287281461
London Spitfire,3.583831990400568,3.3332046003336204,0.810068313731362,3.3332046003336204,4.393900304131931,Control,46.891619470315504
Washington Justice,3.899497825160628,3.3324521303460313,0.489656945068183,3.3324521303460326,4.389154770228811,Control,46.856413765122504
Dreamers,-1.4576250482245323,2.603684008843682,5.640118736658694,2.6036840088436812,4.182493688434162,Control,45.32325663906156
Atlanta Reign,1.775526350343897,3.33266103487994,1.9492932126312936,3.33266103487994,3.7248195629751906,Control,41.927908367545406
Toronto Defiant,1.5627184293827507,3.449296961626807,1.3996981760981282,3.4492969616268065,2.962416605480879,Control,36.27186748620612
Guangzhou Charge,1.6666033244170775,3.3404435229152036,-0.47976801294347327,3.340443522915203,1.186835311473604,Control,23.099357741421535
Poker Face,-2.080393211906094,2.813197237046358,2.711061193618106,2.813197237046358,0.630667981712012,Control,18.973317668944055
New York Excelsior,2.7283588967684067,3.4485437348077492,-2.8155814445701495,3.448543734807749,-0.08722254780174277,Control,13.647501257369644
Dallas Fuel,-1.937918142190782,3.210340562412924,1.651989985046826,3.210340562412924,-0.28592815714395603,Control,12.173363416293137
Los Angeles Gladiators,3.32866230060356,3.397492556802213,-4.072505368338595,3.397492556802212,-0.743843067735035,Control,8.776228831466625
Seoul Dynasty,4.191796623529523,3.3706638252818597,-5.38644573467982,3.3706638252818593,-1.194649111150297,Control,5.431832818770732
Sin Prisa Gaming,-1.331315535000726,2.7090094342576077,-0.643122464652717,2.709009434257608,-1.9744379996534431,Control,-0.3531891159333944
Boston Uprising,4.294088476916611,3.332767447078303,-7.509030877078538,3.3327674470783033,-3.2149424001619265,Control,-9.556122464745332
PANTHERA,-5.950072694844974,2.4176152003086395,2.1364783229771023,2.417615200308639,-3.8135943718678718,Control,-13.997343465240252
Rhodes,-1.6934019770824322,2.123099772209543,-2.904882838605109,2.123099772209543,-4.598284815687541,Control,-19.818728581618718
Los Angeles Valiant,-2.4141548193842963,3.3985539630529367,-2.8358110673683044,3.3985539630529367,-5.249965886752601,Control,-24.653356704852925
San Francisco Shock,-0.9245463888292214,3.449454611952603,-4.9922932552856185,3.4494546119526035,-5.91683964411484,Control,-29.60069485098189
Vancouver Titans,2.4940112146044586,3.3333205333819227,-8.537161506320121,3.333320533381923,-6.043150291715662,Control,-30.537755993722815
Vegas Eternal,-10.407459909629495,3.333367667302431,-1.3190636539271265,3.333367667302433,-11.726523563556622,Control,-72.701012646204
Shanghai Dragons,-12.587969902657754,3.2990298163537743,-2.8183058288509697,3.299029816353774,-15.406275731508725,Control,-100.0
Atlanta Reign,8.899132290311243,6.257336836025332,22.66501777413626,6.257336836025335,31.564150064447503,Escort,100.0
Dreamers,16.94902278742852,5.197073885032619,7.924881819576783,5.197073885032619,24.873904607005304,Escort,79.95718044920888
Vancouver Titans,11.536086229845305,6.257687591394212,10.752848031641888,6.257687591394212,22.288934261487192,Escort,72.21305588622553
Houston Outlaws,5.202823330075686,6.259630898198817,7.999050578998699,6.259630898198818,13.201873909074386,Escort,44.98979299563044
Poker Face,1.050795594076593,5.532396398071679,9.760247984922055,5.53239639807168,10.811043578998648,Escort,37.827278378328664
Hangzhou Spark,3.6985319734962103,6.1184659880966406,5.63464412136619,6.1184659880966406,9.3331760948624,Escort,33.39984271951071
O2 Blast,5.41167357588387,5.577509379719351,3.778928408488228,5.577509379719351,9.190601984372098,Escort,32.97271531628623
PANTHERA,0.21426868025788431,5.152301818577052,8.426932993674361,5.152301818577051,8.641201673932246,Escort,31.326806903307826
Boston Uprising,2.4457921256422614,6.2583275589279515,5.636795630574551,6.258327558927953,8.082587756216812,Escort,29.653296114719872
Guangzhou Charge,4.8574199010405685,6.150521329434547,2.901259226215531,6.150521329434547,7.7586791272561,Escort,28.68292182240122
Washington Justice,1.2729772272750002,6.256343746881778,6.048681774216814,6.256343746881778,7.321659001491815,Escort,27.373685027357464
Seoul Infernal,3.8516975254672445,6.1512220379127225,-0.4650706287631752,6.1512220379127225,3.3866268967040694,Escort,15.585008676911016
Los Angeles Gladiators,-0.6307821409139367,6.25765187899137,0.8279381896886348,6.2576518789913695,0.19715604877469806,Escort,6.029905045183082
London Spitfire,2.200805853644685,6.2593096455513155,-2.187932283880921,6.259309645551315,0.012873569763764081,Escort,5.47782657561362
Sin Prisa Gaming,1.270261069296402,5.4147839341050465,-1.2603873412742803,5.414783934105047,0.00987372802212172,Escort,5.468839568023065
Florida Mayhem,0.003110326488866704,6.258330177546226,-1.5405576269061145,6.258330177546225,-1.5374473004172478,Escort,0.8333330896088009
San Francisco Shock,-8.341301432449317,6.2583382004724095,6.172194667422593,6.258338200472408,-2.169106765026724,Escort,-1.059009537765776
New York Excelsior,-5.16114228202876,6.258976370289013,2.124088486297692,6.258976370289013,-3.0370537957310684,Escort,-3.659228890958688
Dallas Fuel,4.419820648150006,6.147059832891797,-12.576598941685667,6.147059832891794,-8.15677829353566,Escort,-18.997038977599868
Toronto Defiant,-5.8939527762333705,6.2573203878146035,-5.833581676247092,6.257320387814603,-11.727534452480462,Escort,-29.694407528404664
Rhodes,-7.795691730698141,4.83321508673045,-8.828210452315302,4.8332150867304495,-16.623902183013442,Escort,-44.363079328513614
Seoul Dynasty,-5.680247090671143,6.172778756798393,-15.437653435465956,6.172778756798394,-21.1179005261371,Escort,-57.82632195925832
Shanghai Dragons,-16.595880063985657,6.1849296679706605,-11.510646624481081,6.1849296679706605,-28.106526688466737,Escort,-78.76303855217432
Vegas Eternal,-6.421413030313119,6.25833631275386,-22.581305398605362,6.258336312753861,-29.00271842891848,Escort,-81.4478741760755
Los Angeles Valiant,-16.763808591086846,6.257973162520843,-18.43156527759523,6.257973162520843,-35.195373868682076,Escort,-100.0
Florida Mayhem,13.677319631443247,5.966715837199233,13.550065340789875,5.966715837199232,27.22738497223312,Hybrid,100.0
Seoul Infernal,12.954004748004742,5.864598528761737,9.254396886042489,5.864598528761737,22.20840163404723,Hybrid,84.42230199798281
Houston Outlaws,12.381349815489976,5.9679559492255105,8.92223390893474,5.96795594922551,21.303583724424715,Hybrid,81.61396827914432
Atlanta Reign,12.58823913908724,5.965768781608311,8.577286611852301,5.965768781608315,21.16552575093954,Hybrid,81.18547006091754
Boston Uprising,10.929774991283097,5.9667133405985915,7.812787648331575,5.966713340598594,18.742562639614672,Hybrid,73.66518456184488
O2 Blast,7.000016786163128,5.317618694440145,7.164757350707627,5.317618694440145,14.164774136870754,Hybrid,59.4568475326515
Dallas Fuel,4.488556415738816,5.860630266635663,6.876851238560913,5.860630266635662,11.365407654299728,Hybrid,50.76829793522997
Poker Face,-0.6189246806301207,5.274607805844622,4.207694533446154,5.274607805844623,3.588769852816033,Hybrid,26.631514252188172
New York Excelsior,5.6174088781095115,5.967331919822375,-2.7747722218129844,5.967331919822377,2.842636656296527,Hybrid,24.31569911165381
Hangzhou Spark,-3.0176548488813806,5.833368786057696,4.842932650529752,5.833368786057696,1.8252778016483715,Hybrid,21.15806579639452
Los Angeles Gladiators,-1.5053488951113274,5.9660691447725345,2.2172121814665005,5.966069144772533,0.711863286355173,Hybrid,17.702299179610147
Rhodes,-0.4938818844878996,4.608005679542439,1.1164948408219735,4.608005679542437,0.6226129563340739,Hybrid,17.425287961606873
Shanghai Dragons,-1.176064228848587,5.896735511694142,-0.5690818692583456,5.896735511694143,-1.7451460981069324,Hybrid,10.076342367187841
PANTHERA,-5.307712423358758,4.912224185491534,3.089359416772053,4.912224185491534,-2.2183530065867054,Hybrid,8.60762374111037
Guangzhou Charge,2.698959433008241,5.863930470628757,-6.8513311828098935,5.863930470628757,-4.152371749801652,Hybrid,2.6049020977002346
Washington Justice,-2.4635073022500737,5.9648219666349105,-1.7702044705486721,5.9648219666349105,-4.233711772798745,Hybrid,2.3524425399875426
San Francisco Shock,-4.515881770545091,5.966723486287626,-0.62050625452943,5.9667234862876235,-5.136388025074521,Hybrid,-0.4492439977141993
Vancouver Titans,-1.9586885290695073,5.966103193113476,-3.7927397945875496,5.966103193113477,-5.751428323657057,Hybrid,-2.3581788127582826
Toronto Defiant,3.394962493580465,5.965753099821533,-10.944705985325276,5.965753099821533,-7.549743491744811,Hybrid,-7.939709715198628
Dreamers,-6.430365803072551,4.954910044243927,-3.9341956566366556,4.954910044243927,-10.364561459709206,Hybrid,-16.67621694804591
Sin Prisa Gaming,-9.085307272820868,5.16247563456361,-3.4459518862109313,5.162475634563611,-12.5312591590318,Hybrid,-23.401117221158273
Vegas Eternal,-10.109851604449505,5.966721686529569,-5.226535089297816,5.966721686529568,-15.336386693747322,Hybrid,-32.10754771684822
London Spitfire,-5.4850464002768575,5.967649665727323,-11.290175425374056,5.967649665727322,-16.775221825650913,Hybrid,-36.57334041812228
Seoul Dynasty,-11.973763662217948,5.8851507866842505,-10.78978890056191,5.885150786684252,-22.763552562779857,Hybrid,-55.15965590744789
Los Angeles Valiant,-21.588593025887985,5.966375457713711,-15.622083871302436,5.966375457713709,-37.210676897190424,Hybrid,-100.0
Seoul Infernal,2.574092845417563,1.7540098336601728,3.608025115833112,1.7540098336601726,6.182117961250675,Push,100.0
Poker Face,2.440904816058776,1.6160435471326036,2.071397792525685,1.6160435471326033,4.512302608584461,Push,74.61365385307171
Boston Uprising,1.6583120818183787,1.7593017030774447,2.159163571140971,1.7593017030774443,3.8174756529593497,Push,64.05014000134503
San Francisco Shock,0.6394166457555773,1.839782350617563,2.906834611100948,1.8397823506175635,3.546251256856525,Push,59.92669222494034
Dallas Fuel,1.5598397544668334,1.7545517137542739,1.904110810074652,1.7545517137542743,3.463950564541485,Push,58.67546773481609
Houston Outlaws,2.581084602911315,1.8378737962381486,0.8373762793081041,1.8378737962381486,3.418460882219419,Push,57.98388418954692
O2 Blast,0.9207206211370986,1.425677471119678,2.191896145589038,1.425677471119678,3.112616766726137,Push,53.33410984742202
Atlanta Reign,0.7924866379753125,1.4466816076877895,2.0582637997423405,1.4466816076877898,2.850750437717653,Push,49.352933568368094
Shanghai Dragons,1.1060366136861903,1.6314673557485568,1.5583537796145737,1.6314673557485568,2.664390393300764,Push,46.519685815573155
Los Angeles Gladiators,1.4772301669493708,1.7649106440549867,0.7953129842971581,1.7649106440549864,2.272543151246529,Push,40.56239855765893
Florida Mayhem,1.1011669994038433,1.8399177963006594,1.1572568651452677,1.839917796300659,2.258423864549111,Push,40.347741829969806
New York Excelsior,1.5698230199336498,1.831168320476882,0.08924978033718917,1.8311683204768818,1.659072800270839,Push,31.235756150233705
Hangzhou Spark,-0.27518087412783865,1.7265371565276857,1.695295227637711,1.7265371565276852,1.4201143535098724,Push,27.60285037144794
Washington Justice,2.244196842750811,1.1226057387684496,-1.0287852725540132,1.1226057387684494,1.2154115701967978,Push,24.49073638463628
Vancouver Titans,1.3228552934537479,1.7629279598985477,-2.2162034203554275,1.7629279598985477,-0.8933481269016796,Push,-7.568918310570394
Dreamers,-0.5796676147222992,1.445689731986353,-1.4367657053200067,1.4456897319863529,-2.0164333200423057,Push,-24.643278909803012
Rhodes,0.3774299878200033,1.1020439140890548,-2.4028562251711247,1.1020439140890548,-2.0254262373511214,Push,-24.779999003619245
PANTHERA,-1.722222738711877,1.0923602332888733,-0.8365212242579032,1.0923602332888733,-2.55874396296978,Push,-32.88807416727727
Vegas Eternal,-1.5598459596705092,1.116946575062609,-1.0436630490658487,1.1169465750626089,-2.603509008736358,Push,-33.56864100078907
Guangzhou Charge,-2.8609327610855058,1.7504680959421006,-0.701979660170579,1.7504680959421004,-3.562912421256085,Push,-48.15453343846542
Sin Prisa Gaming,-2.8601318986076416,1.4383018986861043,-1.3587387520436245,1.4383018986861043,-4.218870650651266,Push,-58.127122708748026
London Spitfire,-2.930038533984322,1.88723673424551,-2.1213891080110483,1.88723673424551,-5.05142764199537,Push,-70.78455811653679
Toronto Defiant,-4.274799838348666,1.8437549096167367,-1.478188795875224,1.843754909616737,-5.75298863422389,Push,-81.4504501048085
Los Angeles Valiant,-3.520013113341815,1.643993592107377,-3.2171030908170923,1.6439935921073763,-6.737116204158907,Push,-96.41222603004142
Seoul Dynasty,-1.7827635969379867,1.8552812445459588,-5.1903424587048415,1.855281244545959,-6.973106055642829,Push,-100.0
